date_key,fecha,dia,mes,nombre_mes,trimestre,anio,dia_semana
20240323,2024-03-23,23,3,March,1,2024,Saturday
20241129,2024-11-29,29,11,November,4,2024,Friday
20240823,2024-08-23,23,8,August,3,2024,Friday
20241021,2024-10-21,21,10,October,4,2024,Monday
20240916,2024-09-16,16,9,September,3,2024,Monday
20240206,2024-02-06,6,2,February,1,2024,Tuesday
20240617,2024-06-17,17,6,June,2,2024,Monday
20240319,2024-03-19,19,3,March,1,2024,Tuesday
20240914,2024-09-14,14,9,September,3,2024,Saturday
20241216,2024-12-16,16,12,December,4,2024,Monday
20240614,2024-06-14,14,6,June,2,2024,Friday
20240918,2024-09-18,18,9,September,3,2024,Wednesday
20240625,2024-06-25,25,6,June,2,2024,Tuesday
20240911,2024-09-11,11,9,September,3,2024,Wednesday
20241018,2024-10-18,18,10,October,4,2024,Friday
20240607,2024-06-07,7,6,June,2,2024,Friday
20240701,2024-07-01,1,7,July,3,2024,Monday
20241215,2024-12-15,15,12,December,4,2024,Sunday
20241124,2024-11-24,24,11,November,4,2024,Sunday
20240524,2024-05-24,24,5,May,2,2024,Friday
20241214,2024-12-14,14,12,December,4,2024,Saturday
20240729,2024-07-29,29,7,July,3,2024,Monday
20240223,2024-02-23,23,2,February,1,2024,Friday
20240309,2024-03-09,9,3,March,1,2024,Saturday
20240828,2024-08-28,28,8,August,3,2024,Wednesday
20240808,2024-08-08,8,8,August,3,2024,Thursday
20240126,2024-01-26,26,1,January,1,2024,Friday
20240412,2024-04-12,12,4,April,2,2024,Friday
20240405,2024-04-05,5,4,April,2,2024,Friday
20241103,2024-11-03,3,11,November,4,2024,Sunday
20240518,2024-05-18,18,5,May,2,2024,Saturday
20241115,2024-11-15,15,11,November,4,2024,Friday
20240204,2024-02-04,4,2,February,1,2024,Sunday
20240529,2024-05-29,29,5,May,2,2024,Wednesday
20240713,2024-07-13,13,7,July,3,2024,Saturday
20240516,2024-05-16,16,5,May,2,2024,Thursday
20241002,2024-10-02,2,10,October,4,2024,Wednesday
20240226,2024-02-26,26,2,February,1,2024,Monday
20240910,2024-09-10,10,9,September,3,2024,Tuesday
20240912,2024-09-12,12,9,September,3,2024,Thursday
20240124,2024-01-24,24,1,January,1,2024,Wednesday
20240212,2024-02-12,12,2,February,1,2024,Monday
20240401,2024-04-01,1,4,April,2,2024,Monday
20240802,2024-08-02,2,8,August,3,2024,Friday
20240930,2024-09-30,30,9,September,3,2024,Monday
20240616,2024-06-16,16,6,June,2,2024,Sunday
20240504,2024-05-04,4,5,May,2,2024,Saturday
20240603,2024-06-03,3,6,June,2,2024,Monday
20241003,2024-10-03,3,10,October,4,2024,Thursday
20240525,2024-05-25,25,5,May,2,2024,Saturday
20240304,2024-03-04,4,3,March,1,2024,Monday
20241110,2024-11-10,10,11,November,4,2024,Sunday
20240411,2024-04-11,11,4,April,2,2024,Thursday
20240601,2024-06-01,1,6,June,2,2024,Saturday
20240509,2024-05-09,9,5,May,2,2024,Thursday
20240730,2024-07-30,30,7,July,3,2024,Tuesday
20240225,2024-02-25,25,2,February,1,2024,Sunday
20240209,2024-02-09,9,2,February,1,2024,Friday
20240302,2024-03-02,2,3,March,1,2024,Saturday
20240827,2024-08-27,27,8,August,3,2024,Tuesday
20240308,2024-03-08,8,3,March,1,2024,Friday
20240320,2024-03-20,20,3,March,1,2024,Wednesday
20240125,2024-01-25,25,1,January,1,2024,Thursday
20241222,2024-12-22,22,12,December,4,2024,Sunday
20241221,2024-12-21,21,12,December,4,2024,Saturday
20240505,2024-05-05,5,5,May,2,2024,Sunday
20241108,2024-11-08,8,11,November,4,2024,Friday
20241226,2024-12-26,26,12,December,4,2024,Thursday
20240905,2024-09-05,5,9,September,3,2024,Thursday
20241125,2024-11-25,25,11,November,4,2024,Monday
20240815,2024-08-15,15,8,August,3,2024,Thursday
20240210,2024-02-10,10,2,February,1,2024,Saturday
20240926,2024-09-26,26,9,September,3,2024,Thursday
20241019,2024-10-19,19,10,October,4,2024,Saturday
20240331,2024-03-31,31,3,March,1,2024,Sunday
20241211,2024-12-11,11,12,December,4,2024,Wednesday
20240619,2024-06-19,19,6,June,2,2024,Wednesday
20240620,2024-06-20,20,6,June,2,2024,Thursday
20240710,2024-07-10,10,7,July,3,2024,Wednesday
20240920,2024-09-20,20,9,September,3,2024,Friday
20240430,2024-04-30,30,4,April,2,2024,Tuesday
20240604,2024-06-04,4,6,June,2,2024,Tuesday
20241030,2024-10-30,30,10,October,4,2024,Wednesday
20240811,2024-08-11,11,8,August,3,2024,Sunday
20240521,2024-05-21,21,5,May,2,2024,Tuesday
20241008,2024-10-08,8,10,October,4,2024,Tuesday
20240326,2024-03-26,26,3,March,1,2024,Tuesday
20240624,2024-06-24,24,6,June,2,2024,Monday
20240328,2024-03-28,28,3,March,1,2024,Thursday
20240927,2024-09-27,27,9,September,3,2024,Friday
20240426,2024-04-26,26,4,April,2,2024,Friday
20240519,2024-05-19,19,5,May,2,2024,Sunday
20240605,2024-06-05,5,6,June,2,2024,Wednesday
20240107,2024-01-07,7,1,January,1,2024,Sunday
20240419,2024-04-19,19,4,April,2,2024,Friday
20240610,2024-06-10,10,6,June,2,2024,Monday
20240816,2024-08-16,16,8,August,3,2024,Friday
20240721,2024-07-21,21,7,July,3,2024,Sunday
20240922,2024-09-22,22,9,September,3,2024,Sunday
20240526,2024-05-26,26,5,May,2,2024,Sunday
20240330,2024-03-30,30,3,March,1,2024,Saturday
20240919,2024-09-19,19,9,September,3,2024,Thursday
20240628,2024-06-28,28,6,June,2,2024,Friday
20241130,2024-11-30,30,11,November,4,2024,Saturday
20241104,2024-11-04,4,11,November,4,2024,Monday
20240416,2024-04-16,16,4,April,2,2024,Tuesday
20240115,2024-01-15,15,1,January,1,2024,Monday
20240708,2024-07-08,8,7,July,3,2024,Monday
20240814,2024-08-14,14,8,August,3,2024,Wednesday
20240731,2024-07-31,31,7,July,3,2024,Wednesday
