location_key,pickup_location,drop_location
1,AIIMS,Adarsh Nagar
2,AIIMS,Akshardham
3,AIIMS,Ambience Mall
4,AIIMS,Anand Vihar
5,AIIMS,Anand Vihar ISBT
6,AIIMS,Ardee City
7,AIIMS,Arjangarh
8,AIIMS,Ashok Park Main
9,AIIMS,Ashok Vihar
10,AIIMS,Ashram
11,AIIMS,Aya Nagar
12,AIIMS,Azadpur
13,AIIMS,Badarpur
14,AIIMS,Badshahpur
15,AIIMS,Bahadurgarh
16,AIIMS,Barakhamba Road
17,AIIMS,Basai Dhankot
18,AIIMS,Bhikaji Cama Place
19,AIIMS,Bhiwadi
20,AIIMS,Botanical Garden
21,AIIMS,Central Secretariat
22,AIIMS,Chanakyapuri
23,AIIMS,Chandni Chowk
24,AIIMS,Chhatarpur
25,AIIMS,Chirag Delhi
26,AIIMS,Civil Lines Gurgaon
27,AIIMS,Connaught Place
28,AIIMS,Cyber Hub
29,AIIMS,DLF City Court
30,AIIMS,DLF Phase 3
31,AIIMS,Delhi Gate
32,AIIMS,Dilshad Garden
33,AIIMS,Dwarka Mor
34,AIIMS,Dwarka Sector 21
35,AIIMS,Faridabad Sector 15
36,AIIMS,GTB Nagar
37,AIIMS,Ghaziabad
38,AIIMS,Ghitorni
39,AIIMS,Ghitorni Village
40,AIIMS,Golf Course Road
41,AIIMS,Govindpuri
42,AIIMS,Greater Kailash
43,AIIMS,Greater Noida
44,AIIMS,Green Park
45,AIIMS,Gurgaon Railway Station
46,AIIMS,Gurgaon Sector 29
47,AIIMS,Gurgaon Sector 56
48,AIIMS,Gwal Pahari
49,AIIMS,Hauz Khas
50,AIIMS,Hauz Rani
51,AIIMS,Hero Honda Chowk
52,AIIMS,Huda City Centre
53,AIIMS,IFFCO Chowk
54,AIIMS,IGI Airport
55,AIIMS,IGNOU Road
56,AIIMS,IIT Delhi
57,AIIMS,IMT Manesar
58,AIIMS,INA Market
59,AIIMS,ITO
60,AIIMS,Inderlok
61,AIIMS,India Gate
62,AIIMS,Indirapuram
63,AIIMS,Indraprastha
64,AIIMS,Jahangirpuri
65,AIIMS,Jama Masjid
66,AIIMS,Janakpuri
67,AIIMS,Jasola
68,AIIMS,Jhilmil
69,AIIMS,Jor Bagh
70,AIIMS,Kadarpur
71,AIIMS,Kalkaji
72,AIIMS,Kanhaiya Nagar
73,AIIMS,Karkarduma
74,AIIMS,Karol Bagh
75,AIIMS,Kashmere Gate
76,AIIMS,Kashmere Gate ISBT
77,AIIMS,Kaushambi
78,AIIMS,Keshav Puram
79,AIIMS,Khan Market
80,AIIMS,Khandsa
81,AIIMS,Kherki Daula Toll
82,AIIMS,Kirti Nagar
83,AIIMS,Lajpat Nagar
84,AIIMS,Lal Quila
85,AIIMS,Laxmi Nagar
86,AIIMS,Lok Kalyan Marg
87,AIIMS,MG Road
88,AIIMS,Madipur
89,AIIMS,Maidan Garhi
90,AIIMS,Malviya Nagar
91,AIIMS,Mandi House
92,AIIMS,Manesar
93,AIIMS,Mansarovar Park
94,AIIMS,Mayur Vihar
95,AIIMS,Meerut
96,AIIMS,Mehrauli
97,AIIMS,Model Town
98,AIIMS,Moolchand
99,AIIMS,Moti Nagar
100,AIIMS,Mundka
101,AIIMS,Munirka
102,AIIMS,Narsinghpur
103,AIIMS,Nawada
104,AIIMS,Nehru Place
105,AIIMS,Netaji Subhash Place
106,AIIMS,New Colony
107,AIIMS,New Delhi Railway Station
108,AIIMS,Nirman Vihar
109,AIIMS,Noida Extension
110,AIIMS,Noida Film City
111,AIIMS,Noida Sector 18
112,AIIMS,Noida Sector 62
113,AIIMS,Okhla
114,AIIMS,Old Gurgaon
115,AIIMS,Paharganj
116,AIIMS,Palam Vihar
117,AIIMS,Panchsheel Park
118,AIIMS,Panipat
119,AIIMS,Paschim Vihar
120,AIIMS,Pataudi Chowk
121,AIIMS,Patel Chowk
122,AIIMS,Peeragarhi
123,AIIMS,Pitampura
124,AIIMS,Pragati Maidan
125,AIIMS,Preet Vihar
126,AIIMS,Pulbangash
127,AIIMS,Punjabi Bagh
128,AIIMS,Qutub Minar
129,AIIMS,RK Puram
130,AIIMS,Raj Nagar Extension
131,AIIMS,Rajiv Chowk
132,AIIMS,Rajiv Nagar
133,AIIMS,Rajouri Garden
134,AIIMS,Ramesh Nagar
135,AIIMS,Rithala
136,AIIMS,Rohini
137,AIIMS,Rohini East
138,AIIMS,Rohini West
139,AIIMS,Sadar Bazar Gurgaon
140,AIIMS,Saidulajab
141,AIIMS,Saket
142,AIIMS,Saket A Block
143,AIIMS,Samaypur Badli
144,AIIMS,Sarai Kale Khan
145,AIIMS,Sarojini Nagar
146,AIIMS,Satguru Ram Singh Marg
147,AIIMS,Seelampur
148,AIIMS,Shahdara
149,AIIMS,Shastri Nagar
150,AIIMS,Shastri Park
151,AIIMS,Shivaji Park
152,AIIMS,Sikanderpur
153,AIIMS,Sohna Road
154,AIIMS,Sonipat
155,AIIMS,South Extension
156,AIIMS,Subhash Chowk
157,AIIMS,Subhash Nagar
158,AIIMS,Sultanpur
159,AIIMS,Sushant Lok
160,AIIMS,Tagore Garden
161,AIIMS,Tilak Nagar
162,AIIMS,Tis Hazari
163,AIIMS,Tughlakabad
164,AIIMS,Udyog Bhawan
165,AIIMS,Udyog Vihar
166,AIIMS,Udyog Vihar Phase 4
167,AIIMS,Uttam Nagar
168,AIIMS,Vaishali
169,AIIMS,Vasant Kunj
170,AIIMS,Vatika Chowk
171,AIIMS,Vidhan Sabha
172,AIIMS,Vinobapuri
173,AIIMS,Vishwavidyalaya
174,AIIMS,Welcome
175,AIIMS,Yamuna Bank
176,Adarsh Nagar,AIIMS
177,Adarsh Nagar,Akshardham
178,Adarsh Nagar,Ambience Mall
179,Adarsh Nagar,Anand Vihar
180,Adarsh Nagar,Anand Vihar ISBT
181,Adarsh Nagar,Ardee City
182,Adarsh Nagar,Arjangarh
183,Adarsh Nagar,Ashok Park Main
184,Adarsh Nagar,Ashok Vihar
185,Adarsh Nagar,Ashram
186,Adarsh Nagar,Aya Nagar
187,Adarsh Nagar,Azadpur
188,Adarsh Nagar,Badarpur
189,Adarsh Nagar,Badshahpur
190,Adarsh Nagar,Bahadurgarh
191,Adarsh Nagar,Barakhamba Road
192,Adarsh Nagar,Basai Dhankot
193,Adarsh Nagar,Bhikaji Cama Place
194,Adarsh Nagar,Bhiwadi
195,Adarsh Nagar,Botanical Garden
196,Adarsh Nagar,Central Secretariat
197,Adarsh Nagar,Chanakyapuri
198,Adarsh Nagar,Chandni Chowk
199,Adarsh Nagar,Chhatarpur
200,Adarsh Nagar,Chirag Delhi
201,Adarsh Nagar,Civil Lines Gurgaon
202,Adarsh Nagar,Connaught Place
203,Adarsh Nagar,Cyber Hub
204,Adarsh Nagar,DLF City Court
205,Adarsh Nagar,DLF Phase 3
206,Adarsh Nagar,Delhi Gate
207,Adarsh Nagar,Dilshad Garden
208,Adarsh Nagar,Dwarka Mor
209,Adarsh Nagar,Dwarka Sector 21
210,Adarsh Nagar,GTB Nagar
211,Adarsh Nagar,Ghaziabad
212,Adarsh Nagar,Ghitorni
213,Adarsh Nagar,Ghitorni Village
214,Adarsh Nagar,Golf Course Road
215,Adarsh Nagar,Govindpuri
216,Adarsh Nagar,Greater Kailash
